ds,yhat,yhat_lower,yhat_upper
2020-12-10,488.8912726531741,75.54273125892136,918.3787875612651
2020-12-11,489.00341218506605,58.32064534798709,941.1595668238721
2020-12-12,489.11555171695795,56.76679245393543,948.671043680097
2020-12-13,489.2276912488498,57.19209415121875,923.691030341869
2020-12-14,489.33983078074164,39.13026524542111,892.3350568167565
2020-12-15,489.4519703126336,74.7414177470838,928.1745883452834
2020-12-16,489.56410984452543,78.80192227546364,915.3514186524366
2020-12-17,489.6762493764174,44.72165006323133,951.7932490669675
2020-12-18,489.7883889062097,65.96603725319957,888.8437479119171
2020-12-19,489.9005284360021,49.10060176246014,953.853207857661
2020-12-20,490.01266796579444,98.52785629346391,901.4048806290502
2020-12-21,490.1248074955869,41.2993058248743,938.2142043662892
2020-12-22,490.23694702537915,60.25220991536489,930.3946561621863
2020-12-23,490.3490865551715,78.1546915734626,921.2099323814101
2020-12-24,490.4612260849639,67.9223226972652,918.1047686860497
2020-12-25,490.57336561475626,56.662937437900005,943.118132551973
2020-12-26,490.68550514454864,55.77607114372106,877.8211712043158
2020-12-27,490.797644674341,81.45514198469576,926.7019803451367
2020-12-28,490.9097842041333,39.91274978860976,910.9519691933117
2020-12-29,491.02192373392575,41.49723399426737,897.8209044844981
2020-12-30,491.1340632637181,53.11858528228784,946.7014245565898
2020-12-31,491.24620279351046,54.4945915590425,928.9076048033509
2021-01-01,491.3583423233028,60.382773032213535,904.3944941926453
2021-01-02,491.4704818530951,40.04870605307176,922.6381940066284
2021-01-03,491.58262138288757,65.12106874432155,902.3042716728017
2021-01-04,491.6947609126799,69.89213988770906,926.9858411544005
2021-01-05,491.8069004424723,69.25830006350647,951.9845717172311
2021-01-06,491.9190399722646,54.37769002317819,916.8706736629845
2021-01-07,492.03117950205694,59.83564503341379,933.4312973516637
2021-01-08,492.14331903184933,76.78519172852877,919.3322636033075
2021-01-09,492.25545856164166,79.1920030468598,889.3195997588763
2021-01-10,492.3675980914341,97.30437095913281,909.2450362604103
2021-01-11,492.47973762122643,88.97302173599118,889.6461292595137
2021-01-12,492.59187715101876,74.41903109681192,908.2667777907992
2021-01-13,492.70401668081115,81.84254012553426,885.2834332557279
2021-01-14,492.8161562106035,65.46353723903079,946.7093873796151
2021-01-15,492.9282957403959,67.35531799173718,931.4030586508895
2021-01-16,493.04043527018825,74.53105380347718,922.5634244264
2021-01-17,493.1525747999806,68.69247157070657,923.6685328524941
2021-01-18,493.26471432977297,59.12287761774708,935.3887781314019
2021-01-19,493.3768538595653,57.75287221235273,897.3217979255988
2021-01-20,493.4889933893577,66.60306298814956,928.2235351725681
2021-01-21,493.60113291915,57.99620867873204,928.8129870645346
2021-01-22,493.71327244894235,91.52781817851688,906.64215251752
2021-01-23,493.8254119787348,52.53865826742549,944.6434504031372
2021-01-24,493.9375515085271,90.5892814118416,931.3494330814627
2021-01-25,494.0496910383195,68.78686323235603,940.6817561325465
2021-01-26,494.16183056811184,46.48055753325389,898.0528306847814
2021-01-27,494.27397009790417,82.14138260798613,936.5781184868943
2021-01-28,494.3861096276966,73.9326791303397,938.1280296171607
2021-01-29,494.49824915748894,68.39669120047056,884.8328002290812
2021-01-30,494.61038868728133,68.22743989155828,935.9802550070511
2021-01-31,494.72252821707366,75.92140987814264,919.7608268437303
2021-02-01,494.834667746866,68.13894296089666,900.9173902655267
2021-02-02,494.94680727665843,60.36208021561581,920.1802876846643
2021-02-03,495.0589468064507,60.23167214721455,949.2766818448521
2021-02-04,495.17108633624315,74.46972066571121,959.8278204923181
2021-02-05,495.2832258660355,74.26720417896713,884.4899214773777
2021-02-06,495.3953653958278,61.3709063004514,898.4868152071094
2021-02-07,495.5075049256202,70.4598056706421,957.2666074715886
2021-02-08,495.6196444554125,73.65344074181039,928.9850833939332
2021-02-09,495.73178398520497,73.2552546312244,917.9592861886167
2021-02-10,495.8439235149973,51.67155743643992,916.4341260191695
2021-02-11,495.95606304478963,52.76963289881788,915.655829874827
2021-02-12,496.068202574582,78.27096636504001,926.2081586502246
2021-02-13,496.18034210437435,93.64393713159474,914.6520881723189
2021-02-14,496.2924816258377,50.99588083762792,925.9958715392172
2021-02-15,496.4046211473011,56.00509591069863,912.9417638791209
2021-02-16,496.51676066876445,89.23356470154678,952.928884760303
